id,price,neighbourhood_group,neighbourhood
940730929540708123,100,Sant Martí,el Besòs i el Maresme
939206110885602475,58,Sant Andreu,Sant Andreu
939223296183370223,120,Sants-Montjuïc,el Poble Sec
940930879956130147,280,Eixample,la Sagrada Família
940948838592461031,145,Gràcia,el Camp d'en Grassot i Gràcia Nova
939271833496652955,69,Ciutat Vella,el Raval
941005152246650420,79,Gràcia,la Vila de Gràcia
941075555742550976,100,Eixample,la Dreta de l'Eixample
939273230308653285,74,Ciutat Vella,el Raval
939458294332317854,23,Horta-Guinardó,el Guinardó
941144778839882076,241,Sants-Montjuïc,el Poble Sec
939501713361114343,178,Eixample,la Nova Esquerra de l'Eixample
939507374753425467,166,Eixample,la Nova Esquerra de l'Eixample
941153623455496546,85,Sants-Montjuïc,Sants
939511927734716003,166,Eixample,la Nova Esquerra de l'Eixample
939516102896282631,207,Eixample,la Nova Esquerra de l'Eixample
941187451282026139,77,Ciutat Vella,el Barri Gòtic
939520239602684472,207,Eixample,la Nova Esquerra de l'Eixample
939525192172727802,168,Eixample,la Nova Esquerra de l'Eixample
941777429039636142,136,Ciutat Vella,el Raval
939530946955848302,178,Eixample,la Nova Esquerra de l'Eixample
939534752713084100,197,Eixample,la Nova Esquerra de l'Eixample
939538445548154227,166,Eixample,la Nova Esquerra de l'Eixample
939544926988227697,188,Eixample,la Nova Esquerra de l'Eixample
939548143512422268,178,Eixample,la Nova Esquerra de l'Eixample
939552306627561413,178,Eixample,la Nova Esquerra de l'Eixample
939556762057369271,166,Eixample,la Nova Esquerra de l'Eixample
941790907399802325,60,Eixample,l'Antiga Esquerra de l'Eixample
939560896311356928,166,Eixample,la Nova Esquerra de l'Eixample
939562162725255211,100,Sarrià-Sant Gervasi,Sarrià
941791773105452245,76,Ciutat Vella,el Barri Gòtic
941853655660341750,1300,Eixample,la Sagrada Família
939562981409243789,162,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
941858729826437844,175,Sant Martí,el Poblenou
939564695547360204,172,Eixample,la Nova Esquerra de l'Eixample
941859400236900164,233,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
941882036065240887,84,Sants-Montjuïc,el Poble Sec
939568421768895171,178,Eixample,la Nova Esquerra de l'Eixample
939572663682346555,166,Eixample,la Nova Esquerra de l'Eixample
939575855227520621,178,Eixample,la Nova Esquerra de l'Eixample
942049355168978285,99,Horta-Guinardó,la Teixonera
939600141560445580,89,Sant Martí,el Poblenou
942161672522985294,115,Ciutat Vella,el Raval
939603272645066734,121,Ciutat Vella,el Raval
939603957387457303,120,Ciutat Vella,la Barceloneta
943193181595384385,70,Eixample,la Sagrada Família
942352663068604421,104,Eixample,la Dreta de l'Eixample
943234890087032479,217,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
943241358780975319,25,Ciutat Vella,el Barri Gòtic
942489622148628688,48,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
943241606657722324,27,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
942511677079573346,264,Eixample,l'Antiga Esquerra de l'Eixample
942526027839537749,25,Sants-Montjuïc,Sants
943259002614537325,82,Ciutat Vella,el Barri Gòtic
943264824089623619,205,Eixample,l'Antiga Esquerra de l'Eixample
942546607059815997,140,Eixample,la Nova Esquerra de l'Eixample
943273426928959199,99,Ciutat Vella,el Barri Gòtic
942599253533478558,23,Sants-Montjuïc,Hostafrancs
943329662348700324,82,Ciutat Vella,el Barri Gòtic
942644590491106919,96,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
943345957190687338,64,Sant Andreu,Sant Andreu
942657281530434494,149,Sarrià-Sant Gervasi,el Putxet i el Farró
